name,positive,negative,favorite
Workbench Display,"Workbench surface cluttered with cutting mats, scattered hand tools, metal rulers, and small containers, showing worn wood grain, paint stains, uneven lighting, and a utilitarian workspace backdrop.",,false
Hobbyist Desk Setup,"Desk surface crowded with hobby knives, brushes in cups, instruction sheets, and small organizers, featuring laminated wood texture, task lamp illumination, visible cable runs, and a personal workspace arrangement.",,false
Glass Cabinet Showcase,"Glass cabinet enclosure with mirrored backing, transparent shelves, metal frame edges, integrated LED light strips, clean reflective surfaces, controlled lighting, and an enclosed display environment.",,false
Bookshelf Display,"Bookshelf compartment surrounded by upright books, textured paper spines, wooden shelving boards, even ambient room lighting, shallow depth, and a domestic interior display context.",,false
Museum Display Case,"Display case constructed from glass panels and metal supports, neutral plinth base, controlled overhead lighting, minimal background elements, reflective surfaces, and a formal exhibition environment.",,false
Collector Shelf Wall,"Wall-mounted shelving unit with multiple compartments, painted wood panels, evenly spaced brackets, soft ambient lighting, visible wall texture, and a curated collector display setting.",,false
Office Desk Corner,"Desk corner featuring a keyboard, mousepad, monitor base, scattered stationery, smooth laminate surface, indirect screen glow, and a modern office workspace environment.",,false
Studio Worktable,"Large studio worktable with expansive flat surface, cutting mats, measuring tools, storage bins, paint splatters, overhead diffuse lighting, and an open creative workspace atmosphere.",,false
Workshop Pegboard Area,"Pegboard wall backdrop with hanging tools, hooks, outlines, wooden work surface below, visible fasteners, practical lighting, and a functional workshop environment.",,false
Living Room Shelf,"Living room shelving with decorative objects, framed photos, neutral wall paint, soft ambient lighting, smooth finished wood, and a casual domestic display setting.",,false
Retail Display Shelf,"Retail shelving unit with clean lines, neutral backing panels, uniform shelf spacing, overhead store lighting, uncluttered surroundings, and a commercial display environment.",,false
Display Pedestal,"Freestanding display pedestal with flat top surface, matte finish panels, concealed base, focused overhead spotlighting, minimal surroundings, and a gallery-style presentation space.",,false
Workshop Drawer Top,"Metal drawer cabinet top with scuffed paint, visible scratches, industrial texture, nearby tools, directional task lighting, and a rugged workshop surface environment.",,false
Modeling Bench Area,"Modeling bench with magnifying lamp, foam blocks, clamps, scattered materials, textured tabletop, close-range lighting, and a specialized craft workspace context.",,false
Glass Dome Display,"Glass dome enclosure resting on a solid base, clear curved surface, subtle reflections, controlled internal lighting, isolated presentation, and a protected display environment.",,false
Industrial Shelf Unit,"Industrial metal shelving with perforated uprights, matte steel surfaces, visible bolts, even warehouse lighting, open background space, and a utilitarian storage display setting.",,false
Bedroom Desk Surface,"Bedroom desk with personal items, notebooks, lamp, smooth wood grain, soft warm lighting, fabric textures nearby, and an informal personal workspace environment.",,false
Photography Light Table,"Light table surface with translucent panel, even backlighting, surrounding studio equipment, clean flat plane, controlled illumination, and a product photography environment.",,false
Rotating Display Stand,"Motorized rotating display stand with circular platform, smooth plastic or metal surface, concealed mechanism, focused lighting, neutral backdrop, and a dynamic presentation setting.",,false
Window Sill Display,"Window sill surface with painted wood trim, natural daylight, visible glass reflections, exterior light influence, simple surroundings, and a casual household display location.",,false
Tool Chest Top,"Tool chest top surface with textured metal finish, visible seams, nearby tools, workshop lighting, industrial color tones, and a heavy-duty workspace environment.",,false
Minimalist Display Box,"Minimalist display box with clean geometric panels, matte neutral surfaces, internal lighting, enclosed space, controlled reflections, and a modern presentation environment.",,false
Studio Shelf Rack,"Studio shelving rack with open compartments, mixed materials, visible storage boxes, neutral wall backdrop, even lighting, and a creative studio display context.",,false
Convention Display Table,"Convention table covered with fitted cloth, visible seams, overhead hall lighting, open surrounding space, temporary setup elements, and an event display environment.",,false
Storage Cabinet Interior,"Storage cabinet interior with painted panels, adjustable shelf pegs, uniform surfaces, enclosed lighting conditions, minimal clutter, and a functional storage display setting.",,false
