name,positive,negative,favorite
Original Color Fidelity,"Paint application strictly follows the character's original colours, with flat opaque layers, clean edge separation, uniform coverage, accurate hue balance, and consistent saturation across all painted surfaces.",,false
High-Gloss Lacquer,"Paint surface finished in high-gloss lacquer, producing mirror-like reflections, smooth uninterrupted coating, deep color density, crisp masking lines, and a polished enamel appearance across the entire figurine.",,false
Matte Animation Finish,"Paint applied in a matte animation-style finish, with flat non-reflective colors, even opacity, simplified tonal variation, clean color blocking, and a surface texture resembling hand-painted animation cels.",,false
Cel-Shaded Style,"Paint treatment mimics cel-shading, using sharp color boundaries, limited shadow bands, high contrast tones, deliberate flat regions, and graphic transitions designed to resemble stylized illustrated rendering.",,false
Weathered Battle Wear,"Paint finish appears intentionally weathered, with chipped edges, scuffed patches, exposed underlayers, irregular abrasion marks, and uneven color wear distributed realistically across raised and contact-prone areas.",,false
Airbrushed Gradient Blends,"Paint applied using smooth airbrushed gradients, featuring seamless color transitions, soft tonal shifts, controlled overspray, subtle depth variation, and continuous blending without visible brush strokes.",,false
Hand-Brushed Artisan,"Paint shows visible hand-brushed texture, with fine stroke marks, slight thickness variation, layered pigment buildup, organic edge softness, and a crafted appearance emphasizing manual application.",,false
Metallic Pigment Coat,"Paint layer incorporates metallic pigments, producing fine reflective flecks, consistent shimmer, uniform dispersion, smooth coverage, and a subtle sparkle effect visible under direct lighting.",,false
Pearlescent Finish,"Paint surface uses pearlescent pigments, creating soft iridescent shifts, smooth satin sheen, layered translucent color depth, and gentle light-responsive highlights across curved surfaces.",,false
Chalky Pastel Coating,"Paint applied in a chalky pastel style, featuring desaturated hues, soft powdery appearance, muted contrast, uniform matte finish, and gentle color transitions without strong highlights.",,false
Enamel Toy Finish,"Paint resembles classic enamel toy coatings, with thick glossy layers, bold saturated colors, smooth rounded edges, uniform opacity, and a durable high-sheen surface appearance.",,false
Dark Realistic Shading,"Paint style uses darker realistic shading, with controlled shadow placement, subtle gradients, restrained saturation, layered tonal depth, and a grounded palette emphasizing material realism.",,false
Comic Book Palette,"Paint follows a comic book color palette, using bold primary hues, high contrast combinations, sharp separations, minimal blending, and strong visual clarity inspired by printed illustrations.",,false
Monochrome Scheme,"Paint application uses a monochrome color scheme, varying only brightness and saturation within a single hue family, maintaining uniform coverage, controlled contrast, and cohesive tonal consistency.",,false
Candy-Coated Finish,"Paint applied in a candy-coated style, with translucent color layers over a bright base, producing deep glossy color, enhanced luminosity, smooth reflections, and vibrant surface richness.",,false
