name,positive,negative,favorite
Cast Bronze Alloy,"a figurine of the character constructed from cast bronze alloy, dense and cold, with subtle surface porosity, fine machining marks, uniform thickness, solid internal mass, and a gently oxidized metallic sheen.",,false
Brushed Stainless Steel,"a figurine of the character formed from brushed stainless steel, smooth yet industrial, showing linear abrasion patterns, consistent wall thickness, crisp edges, high density, and a neutral reflective metallic surface.",,false
Brushed Aluminum Body,"a figurine of the character made from brushed aluminum, lightweight yet rigid, with fine directional grain lines, cleanly milled surfaces, uniform hollow construction, and a soft matte metallic luster.",,false
Solid Brass Casting,"a figurine of the character produced from solid brass casting, heavy and rigid, with faint mold seams, warm metallic density, consistent cross section, and subtle surface microtexture from casting.",,false
Zamak Zinc Alloy,"a figurine of the character manufactured from zamak zinc alloy, weighty and smooth, showing precise mold definition, minimal grain, uniform thickness, and a cool, satin metallic surface.",,false
Cast Iron Form,"a figurine of the character built from cast iron, extremely dense and rigid, with coarse microtexture, visible casting marks, thick structural walls, and a darkened raw metallic finish.",,false
Carbon Steel Body,"a figurine of the character fabricated from carbon steel, solid and heavy, displaying fine machining lines, sharp structural edges, uniform mass distribution, and a slightly reflective industrial surface.",,false
Corten Steel Shell,"a figurine of the character constructed from corten steel, thick and weighty, with coarse surface grain, visible mill texture, consistent material depth, and a naturally weathered metallic exterior.",,false
Pewter Alloy Cast,"a figurine of the character cast from pewter alloy, smooth and dense, with soft edge transitions, uniform thickness, fine mold detail retention, and a muted low-gloss metallic surface.",,false
Nickel Silver Alloy,"a figurine of the character formed from nickel silver alloy, cool-toned and dense, featuring smooth planar surfaces, minimal grain visibility, consistent structural thickness, and a soft reflective finish.",,false
Epoxy Resin Solid,"a figurine of the character molded from solid epoxy resin, rigid and glassy, with smooth continuous surfaces, uniform internal density, crisp edges, and a slightly translucent depth.",,false
Polyurethane Resin Cast,"a figurine of the character created from polyurethane resin, lightweight yet stiff, showing clean mold lines, consistent wall thickness, smooth tactile surfaces, and an opaque synthetic body.",,false
Fiberglass Composite,"a figurine of the character constructed from fiberglass-reinforced composite, rigid and lightweight, with subtle fiber texture beneath the surface, uniform structural thickness, and a durable synthetic shell.",,false
Carbon Fiber Composite,"a figurine of the character built from carbon fiber composite, extremely lightweight and stiff, displaying visible woven fiber patterning, precise layering, consistent thickness, and a smooth sealed surface.",,false
ABS Plastic Injection,"a figurine of the character produced from injection-molded ABS plastic, rigid and lightweight, with smooth uniform surfaces, precise seam lines, consistent wall thickness, and a dense synthetic feel.",,false
PVC Plastic Body,"a figurine of the character formed from PVC plastic, slightly flexible yet sturdy, with smooth molded surfaces, uniform density, clean edges, and a soft low-sheen synthetic exterior.",,false
PLA Bioplastic Print,"a figurine of the character manufactured from PLA bioplastic, rigid and lightweight, with visible horizontal layered striations, consistent extrusion thickness, solid internal structure, and a matte polymer surface.",,false
Nylon SLS Print,"a figurine of the character created from SLS-printed nylon, lightweight and tough, with fine powdery surface texture, uniform wall thickness, dense internal fusion, and a soft matte finish.",,false
Polycarbonate Shell,"a figurine of the character constructed from polycarbonate, highly rigid and impact-resistant, featuring smooth molded surfaces, consistent thickness, dense structure, and a slightly glossy synthetic exterior.",,false
Acrylic PMMA Solid,"a figurine of the character made from solid acrylic PMMA, rigid and glass-like, with smooth polished planes, uniform material thickness, sharp edges, and clear or milky internal depth.",,false
Silicone Rubber Form,"a figurine of the character molded from silicone rubber, flexible and dense, with smooth continuous surfaces, uniform elasticity, consistent wall thickness, and a soft-touch matte exterior.",,false
TPU Flexible Polymer,"a figurine of the character fabricated from TPU polymer, rubbery and resilient, showing smooth molded surfaces, even flexibility throughout, consistent thickness, and a slightly satin synthetic skin.",,false
EVA Foam Core,"a figurine of the character constructed from EVA foam, lightweight and compressible, with fine closed-cell texture, uniform density, smooth cut surfaces, and a soft matte material body.",,false
Rigid Polyurethane Foam,"a figurine of the character built from rigid polyurethane foam, extremely lightweight, with visible microcell structure, consistent volume, clean carved surfaces, and a dry matte synthetic texture.",,false
Paraffin Wax Cast,"a figurine of the character formed from paraffin wax, smooth and slightly translucent, with uniform density, soft edge definition, subtle surface bloom, and a solid yet delicate structure.",,false
Beeswax Solid Form,"a figurine of the character created from solid beeswax, dense and smooth, showing faint organic texture, uniform mass, soft rounded edges, and a gently translucent natural surface.",,false
Polymer Clay Bake,"a figurine of the character made from baked polymer clay, rigid and smooth, with fine particulate texture, consistent thickness, solid internal mass, and a dense synthetic ceramic feel.",,false
Ceramic Stoneware,"a figurine of the character constructed from ceramic stoneware, heavy and rigid, with fine-grain surface texture, uniform wall thickness, solid mass, and a dense fired mineral body.",,false
Porcelain Body,"a figurine of the character formed from porcelain, smooth and dense, featuring fine microtexture, consistent thickness, solid fired structure, and a hard glass-like ceramic surface.",,false
Terracotta Clay,"a figurine of the character built from terracotta clay, porous and rigid, with visible grain, uniform thickness, solid earthen mass, and a dry mineral surface texture.",,false
Earthenware Ceramic,"a figurine of the character produced from earthenware ceramic, moderately dense and rigid, showing coarse clay texture, consistent wall thickness, solid construction, and a matte mineral exterior.",,false
Gypsum Plaster Cast,"a figurine of the character cast from gypsum plaster, lightweight and brittle, with fine powdery surface texture, uniform thickness, solid internal fill, and a dry matte mineral finish.",,false
Concrete Composite,"a figurine of the character constructed from fine aggregate concrete, heavy and rigid, with visible micro-aggregate speckling, uniform thickness, solid mass, and a raw mineral surface.",,false
