name,positive,negative,favorite
Solid Stone Plinth,"a base for the figurine formed as a solid stone plinth, dense and heavy, with fine-grain mineral texture, flat planar surfaces, uniform thickness, crisp edges, and a stable monolithic mass.",,false
Polished Marble Base,"a base for the figurine constructed from polished marble, very dense and cold, showing subtle crystalline grain, smooth reflective planes, consistent depth, sharp perimeter edges, and a solid structural body.",,false
Granite Block Base,"a base for the figurine shaped from granite, extremely hard and heavy, with coarse mineral speckling, uniform thickness, flat leveled surfaces, and a rough-to-honed stone exterior.",,false
Concrete Display Base,"a base for the figurine cast from fine concrete, heavy and rigid, featuring visible micro-aggregate texture, uniform slab thickness, crisp geometric edges, and a raw mineral surface.",,false
Cast Iron Base,"a base for the figurine made from cast iron, very dense and weighty, with subtle casting marks, thick structural walls, flat load-bearing surfaces, and a dark matte metallic texture.",,false
Brushed Steel Platform,"a base for the figurine fabricated from brushed steel, rigid and industrial, displaying linear abrasion grain, consistent plate thickness, sharp corners, and a cool reflective metal surface.",,false
Brass Pedestal Base,"a base for the figurine constructed from solid brass, heavy and stable, with smooth machined surfaces, uniform cross section, crisp edges, and a warm dense metallic body.",,false
Aluminum Plate Base,"a base for the figurine formed from aluminum plate, lightweight yet rigid, showing fine brushed grain, consistent thickness, clean machined edges, and a soft satin metallic finish.",,false
Acrylic Block Base,"a base for the figurine made from solid acrylic block, rigid and glass-like, with smooth polished planes, uniform material depth, sharp edges, and clear or milky internal transparency.",,false
Clear Resin Base,"a base for the figurine cast from clear resin, rigid and glossy, with smooth continuous surfaces, consistent thickness, internal depth clarity, and a dense synthetic structural mass.",,false
Opaque Resin Base,"a base for the figurine molded from opaque resin, rigid and smooth, featuring uniform density, clean planar surfaces, even wall thickness, and a solid synthetic body.",,false
Ceramic Tile Base,"a base for the figurine constructed from fired ceramic, dense and rigid, with fine mineral texture, flat leveled surfaces, uniform thickness, and a hard matte ceramic exterior.",,false
Porcelain Slab Base,"a base for the figurine formed from porcelain slab, smooth and dense, showing fine microtexture, consistent depth, crisp edges, and a solid fired ceramic structure.",,false
Terracotta Base,"a base for the figurine made from terracotta clay, porous and rigid, with visible grain, uniform thickness, flat molded surfaces, and a dry earthen mineral texture.",,false
Wooden Plinth Base,"a base for the figurine carved from solid hardwood, rigid and lightweight, with visible linear grain, uniform thickness, smooth sanded planes, and a stable fibrous structure.",,false
Walnut Wood Base,"a base for the figurine shaped from walnut wood, dense and sturdy, displaying rich grain patterns, consistent depth, flat leveled surfaces, and a solid organic material body.",,false
Bamboo Laminate Base,"a base for the figurine constructed from laminated bamboo, lightweight and strong, with layered linear grain lines, uniform thickness, smooth planar surfaces, and compressed fibrous texture.",,false
Cork Composite Base,"a base for the figurine formed from cork composite, extremely lightweight, showing granular cell texture, uniform density, flat surfaces, and a porous organic material structure.",,false
Rubber Platform Base,"a base for the figurine molded from dense rubber, flexible yet weighty, with smooth matte surfaces, uniform thickness, slightly rounded edges, and a shock-absorbing solid body.",,false
Silicone Base,"a base for the figurine cast from silicone, soft yet stable, with smooth continuous surfaces, consistent elasticity, uniform thickness, and a matte synthetic exterior.",,false
Steel Disc Base,"a base for the figurine produced as a solid steel disc, heavy and rigid, with smooth machined faces, uniform circular thickness, clean edges, and a dense industrial metal mass.",,false
Stone Tile Base,"a base for the figurine cut from natural stone tile, dense and flat, showing subtle mineral grain, uniform thickness, sharp edges, and a cool matte stone surface.",,false
Plaster Cast Base,"a base for the figurine cast from plaster, lightweight and brittle, featuring fine powdery texture, uniform slab thickness, flat surfaces, and a dry matte mineral finish.",,false
Glass Block Base,"a base for the figurine constructed from solid glass block, heavy and translucent, with smooth polished planes, uniform internal clarity, crisp edges, and a rigid glassy mass.",,false
Metal Grid Base,"a base for the figurine fabricated from rigid metal grid, dense and weighty, with evenly spaced structural bars, uniform thickness, flat support surface, and an industrial metallic texture.",,false
Sci-Fi Metal Grid,"a base for the figurine designed as a sci-fi metal grid, rigid and industrial, with interlocking steel panels, recessed glowing light strips, exposed bolts, layered depth, and a futuristic mechanical surface.",,false
Holographic Tech Platform,"a base for the figurine formed as a holographic tech platform, solid and metallic, featuring transparent panels, embedded luminous lines, geometric cutouts, stacked layers, and a sleek science-fiction construction.",,false
Cyberpunk Street Slab,"a base for the figurine styled as a cyberpunk street slab, dense and layered, with cracked metal plates, inset glowing signage panels, exposed wiring channels, and a gritty futuristic urban texture.",,false
Alien Alloy Pedestal,"a base for the figurine constructed from alien alloy, smooth yet irregular, with flowing metallic contours, embedded bioluminescent nodes, seamless joints, and an otherworldly synthetic structure.",,false
Reactor Core Base,"a base for the figurine built as a miniature reactor core, heavy and mechanical, featuring concentric metal rings, central glowing core chamber, vented panels, and dense industrial layering.",,false
Digital Circuit Platform,"a base for the figurine designed as a digital circuit platform, flat and rigid, with etched circuit pathways, luminous data lines, layered metal plates, and a precise high-tech surface pattern.",,false
Starship Deck Floor,"a base for the figurine modeled after a starship deck floor, solid and modular, showing segmented metal tiles, recessed lighting seams, structural grooves, and a clean sci-fi industrial finish.",,false
Mech Hangar Base,"a base for the figurine styled as a mech hangar floor, heavy and reinforced, with thick steel panels, hazard strip inlays, glowing maintenance lights, and layered mechanical surface detailing.",,false
Floating Energy Disc,"a base for the figurine shaped as a floating energy disc, circular and rigid, with smooth metallic rim, central glowing ring, layered concentric construction, and a futuristic powered appearance.",,false
Nano-Tech Platform,"a base for the figurine constructed as a nano-tech platform, sleek and compact, with tessellated metal surfaces, micro-scale panel lines, subtle glowing seams, and dense high-technology structure.",,false
Model Grass Terrain,"a base for the figurine built as miniature terrain, featuring dense fake model grass fibers, uneven soil texture, embedded small stones, layered ground contours, and a realistic diorama-style surface.",,false
Stone and Grass Diorama,"a base for the figurine styled with artificial grass and stone, combining textured rock slabs, clustered gravel, short synthetic turf, layered elevation, and a naturalistic miniature landscape.",,false
Forest Floor Base,"a base for the figurine formed as a forest floor scene, with fake moss patches, scattered pebbles, textured soil surface, uneven ground contours, and a handcrafted diorama material composition.",,false
Rocky Cliff Platform,"a base for the figurine designed as a rocky cliff platform, rigid and layered, with stacked stone textures, jagged edges, uneven strata, and a sculpted miniature geological structure.",,false
Desert Sand Base,"a base for the figurine constructed as desert terrain, featuring compacted fine sand texture, embedded small stones, subtle wind-shaped ridges, layered ground depth, and a dry miniature landscape.",,false
Lava Crust Base,"a base for the figurine styled as cooled lava crust, dense and cracked, with jagged rock plates, glowing fissure lines, layered volcanic texture, and a dramatic fantasy terrain surface.",,false
Ancient Ruin Floor,"a base for the figurine designed as ancient ruin flooring, heavy and stone-like, with cracked tiles, eroded edges, engraved patterns, layered stone slabs, and a weathered architectural texture.",,false
Temple Stone Platform,"a base for the figurine formed as a temple stone platform, solid and elevated, showing carved block segments, worn surface texture, stepped layers, and a monumental miniature structure.",,false
Industrial Factory Floor,"a base for the figurine constructed as factory flooring, rigid and layered, featuring metal plates, oil-stained textures, riveted seams, embedded grates, and an industrial mechanical surface.",,false
Urban Sidewalk Base,"a base for the figurine styled as an urban sidewalk section, flat and dense, with concrete slab divisions, small debris texture, surface cracks, and a realistic city ground appearance.",,false
Snow Terrain Base,"a base for the figurine formed as snowy terrain, layered and uneven, with textured snow surface, subtle ice patches, compacted ground forms, and a miniature winter landscape structure.",,false
Icy Crystal Platform,"a base for the figurine constructed from ice-like crystal forms, rigid and translucent, featuring jagged facets, layered crystal growth, glowing internal highlights, and a frozen fantasy material body.",,false
Arcane Magic Circle,"a base for the figurine designed as an arcane magic circle, flat and solid, with engraved symbols, concentric ring patterns, glowing rune lines, and a dense mystical stone surface.",,false
Floating Rune Platform,"a base for the figurine shaped as a floating rune platform, circular and layered, featuring carved stone segments, luminous etched symbols, stacked ring construction, and a fantasy energy aesthetic.",,false
Mechanical Gear Base,"a base for the figurine built from interlocked mechanical gears, dense and metallic, with exposed cogs, layered steel components, recessed glowing accents, and an industrial fantasy structure.",,false
